name,region,continent,category
Turkish Coffee,Turkey,Asia,coffee
Gongfu Cha,China,Asia,tea
Maghrebi Mint Tea,Morroco,Africa,tea
Ethiopian Coffee,Ethiopia,Africa,coffee
Vietnamese Coffee,Vietnam,Asia,coffee
Yerba Mate,Paraguay,South America,tea
Siphon Coffee,Japan,Asia,coffee
Sadō,Japan,Asia,tea
Iced Sweet Tea,USA,North America,tea
Rooibos,South Africa,Africa,tea
Afternoon Tea,England,Europe,tea
Chai,India,Asia,tea
Butter Tea,Tibet,Asia,tea
Barley Tea,Japan,Asia,tea
Corn Coffee,Korea,Asia,coffee
Turkish Tea,Turkey,Asia,tea
Assam,India,Asia,tea
Darjeeling,India,Asia,tea
